ambiguity,name,set_code,artist,discrepancy,correct_artists,correct_sets
1070,"dorat, the perfect pet / sprite dragon",IKO,Simon Dominic,Name not found in db,,
1071,"dorat, the perfect pet / sprite dragon",IKO,Simon Dominic,Name not found in db,,
1072,"dorat, the perfect pet / sprite dragon",IKO,Simon Dominic,Name not found in db,,
1073,"dorat, the perfect pet / sprite dragon",IKO,Simon Dominic,Name not found in db,,
1073,"dorat, the perfect pet / sprite dragon",IKO,Simon Dominic,Name not found in db,,
1074,"dorat, the perfect pet / sprite dragon",IKO,Simon Dominic,Name not found in db,,
1075,"dorat, the perfect pet / sprite dragon",IKO,Simon Dominic,Name not found in db,,
1076,"dorat, the perfect pet / sprite dragon",IKO,Simon Dominic,Name not found in db,,
1077,"dorat, the perfect pet / sprite dragon",IKO,Simon Dominic,Name not found in db,,
1078,"dorat, the perfect pet / sprite dragon",IKO,Simon Dominic,Name not found in db,,
1079,"dorat, the perfect pet / sprite dragon",IKO,Simon Dominic,Name not found in db,,
1082,double deal,UGL,Edward P Beard Jr,Artist not found in db,"Edward P. Beard, Jr.",ugl
1086,double negative,ARB,Parente,Artist not found in db,Paolo Parente,arb
1087,double play,UGL,Claymore J Flapdoodle,Artist not found in db,Claymore J. Flapdoodle,ugl
1088,double play,UGL,Claymore J Flapdoodle,Artist not found in db,Claymore J. Flapdoodle,ugl
1089,double take,UGL,Claymore J Flapdoodle,Artist not found in db,Claymore J. Flapdoodle,ugl
1090,double take,UGL,Claymore J Flapdoodle,Artist not found in db,Claymore J. Flapdoodle,ugl
1111,dragon token,WAR,KIERAN YANNER,Name not found in db,,
1112,dragon whelp,TSP,Amy Weber,Set not found in dbgit ,"Amy Weber, Jokubas Uogintas, Steven Belledin","cma, sum, cmd, 2ed, lea, ddg, 3ed, m10, tsb, dmr, cei, leb, arc, 30a, drb, fbb, 4ed, ced, dmu, plst, 4bb"
1114,dragon whelp foreign,4ED,Amy Weber,Name not found in db,,
1134,dragonlair spider,"PCA, CN2, PC2",Carl Critchlow,Set not found in dbgit ,Carl Critchlow,"cm1, pz1, pc2, plst, pca, cn2"
1135,dragonlair spider,"PCA, CN2, PC2",Carl Critchlow,Set not found in dbgit ,Carl Critchlow,"cm1, pz1, pc2, plst, pca, cn2"
1139,"dranlu, lich lord",TSP,Greg Staples,Name not found in db,,
1140,drawn together,UNH,Pete Venters,Artist not found in db,Pete “Fear Me” Venters,unh
1141,drawn together,UNH,Pete Venters,Artist not found in db,Pete “Fear Me” Venters,unh
1142,drawn together,UNH,Pete Venters,Artist not found in db,Pete “Fear Me” Venters,unh
1148,dream thrush,INV,DJ Cleland-Hura,Artist not found in db,D. J. Cleland-Hura,"plst, inv"
1151,drelnoch,CSP,Z Boros and G Szikszai,Artist not found in db,Zoltan Boros & Gabor Szikszai,csp
1157,dromad purebread,RAV,Carl Critchlow,Name not found in db,,
1187,duress,IXA,Lucas Graciano,Set not found in dbgit ,"Pete Venters, Romiy, Kristina Collantes, Paul Scott Canavan, Riot Games, Lawrence Snelly, Michael Komarck, Jason Rainville, Lucas Graciano, PINDURSKI, Steven Belledin","f05, sld, usg, one, dbl, wc99, sta, m21, pana, m14, md1, m19, wc01, m10, pidw, j21, m20, dmr, pd3, dvd, ima, m11, dtk, wc02, prm, ddc, ema, pmei, 7ed, m13, xln, mid, pal00, plst"
1188,duress,IXA,Lucas Graciano,Set not found in dbgit ,"Pete Venters, Romiy, Kristina Collantes, Paul Scott Canavan, Riot Games, Lawrence Snelly, Michael Komarck, Jason Rainville, Lucas Graciano, PINDURSKI, Steven Belledin","f05, sld, usg, one, dbl, wc99, sta, m21, pana, m14, md1, m19, wc01, m10, pidw, j21, m20, dmr, pd3, dvd, ima, m11, dtk, wc02, prm, ddc, ema, pmei, 7ed, m13, xln, mid, pal00, plst"
1189,duress,IXA,Lucas Graciano,Set not found in dbgit ,"Pete Venters, Romiy, Kristina Collantes, Paul Scott Canavan, Riot Games, Lawrence Snelly, Michael Komarck, Jason Rainville, Lucas Graciano, PINDURSKI, Steven Belledin","f05, sld, usg, one, dbl, wc99, sta, m21, pana, m14, md1, m19, wc01, m10, pidw, j21, m20, dmr, pd3, dvd, ima, m11, dtk, wc02, prm, ddc, ema, pmei, 7ed, m13, xln, mid, pal00, plst"
1190,duress,IXA,Lucas Graciano,Set not found in dbgit ,"Pete Venters, Romiy, Kristina Collantes, Paul Scott Canavan, Riot Games, Lawrence Snelly, Michael Komarck, Jason Rainville, Lucas Graciano, PINDURSKI, Steven Belledin","f05, sld, usg, one, dbl, wc99, sta, m21, pana, m14, md1, m19, wc01, m10, pidw, j21, m20, dmr, pd3, dvd, ima, m11, dtk, wc02, prm, ddc, ema, pmei, 7ed, m13, xln, mid, pal00, plst"
1191,duress,IXA,Lucas Graciano,Set not found in dbgit ,"Pete Venters, Romiy, Kristina Collantes, Paul Scott Canavan, Riot Games, Lawrence Snelly, Michael Komarck, Jason Rainville, Lucas Graciano, PINDURSKI, Steven Belledin","f05, sld, usg, one, dbl, wc99, sta, m21, pana, m14, md1, m19, wc01, m10, pidw, j21, m20, dmr, pd3, dvd, ima, m11, dtk, wc02, prm, ddc, ema, pmei, 7ed, m13, xln, mid, pal00, plst"
1192,duress,IXA,Lucas Graciano,Set not found in dbgit ,"Pete Venters, Romiy, Kristina Collantes, Paul Scott Canavan, Riot Games, Lawrence Snelly, Michael Komarck, Jason Rainville, Lucas Graciano, PINDURSKI, Steven Belledin","f05, sld, usg, one, dbl, wc99, sta, m21, pana, m14, md1, m19, wc01, m10, pidw, j21, m20, dmr, pd3, dvd, ima, m11, dtk, wc02, prm, ddc, ema, pmei, 7ed, m13, xln, mid, pal00, plst"
1193,duress,IXA,Lucas Graciano,Set not found in dbgit ,"Pete Venters, Romiy, Kristina Collantes, Paul Scott Canavan, Riot Games, Lawrence Snelly, Michael Komarck, Jason Rainville, Lucas Graciano, PINDURSKI, Steven Belledin","f05, sld, usg, one, dbl, wc99, sta, m21, pana, m14, md1, m19, wc01, m10, pidw, j21, m20, dmr, pd3, dvd, ima, m11, dtk, wc02, prm, ddc, ema, pmei, 7ed, m13, xln, mid, pal00, plst"
1194,duress,IXA,Lucas Graciano,Set not found in dbgit ,"Pete Venters, Romiy, Kristina Collantes, Paul Scott Canavan, Riot Games, Lawrence Snelly, Michael Komarck, Jason Rainville, Lucas Graciano, PINDURSKI, Steven Belledin","f05, sld, usg, one, dbl, wc99, sta, m21, pana, m14, md1, m19, wc01, m10, pidw, j21, m20, dmr, pd3, dvd, ima, m11, dtk, wc02, prm, ddc, ema, pmei, 7ed, m13, xln, mid, pal00, plst"
1196,duress,IXA,Lucas Graciano,Set not found in dbgit ,"Pete Venters, Romiy, Kristina Collantes, Paul Scott Canavan, Riot Games, Lawrence Snelly, Michael Komarck, Jason Rainville, Lucas Graciano, PINDURSKI, Steven Belledin","f05, sld, usg, one, dbl, wc99, sta, m21, pana, m14, md1, m19, wc01, m10, pidw, j21, m20, dmr, pd3, dvd, ima, m11, dtk, wc02, prm, ddc, ema, pmei, 7ed, m13, xln, mid, pal00, plst"
1197,duress,IXA,Lucas Graciano,Set not found in dbgit ,"Pete Venters, Romiy, Kristina Collantes, Paul Scott Canavan, Riot Games, Lawrence Snelly, Michael Komarck, Jason Rainville, Lucas Graciano, PINDURSKI, Steven Belledin","f05, sld, usg, one, dbl, wc99, sta, m21, pana, m14, md1, m19, wc01, m10, pidw, j21, m20, dmr, pd3, dvd, ima, m11, dtk, wc02, prm, ddc, ema, pmei, 7ed, m13, xln, mid, pal00, plst"
1201,dust of moments,LRW,Z Boros and G Szikszai,Artist and set not found in db,Zoltan Boros & Gabor Szikszai,fut
1214,"eastern paladin, western paladin",8ED,Carl Critchlow,Name not found in db,,
1228,"elbrus, the binding blade",V17,Eric Deschamps,Name not found in db,,
1245,elixir of immortality,M13,Z Boros and G Szikszai,Artist not found in db,"Desmuncubic, Zoltan Boros & Gabor Szikszai","m13, sld, c21, m11, m12, plst, m14, ddf"
1254,elvish impersonator,UGL,Claymore J Flapdoodle,Name not found in db,,
1255,elvish impersonator,UGL,Claymore J Flapdoodle,Name not found in db,,
1270,endbringer,OGW,Adam Paquette,Set not found in dbgit ,"Vincent Proce, Adam Paquette","cmm, ogw, j22, prm, pogw, m3c"
1271,endbringer,OGW,Adam Paquette,Set not found in dbgit ,"Vincent Proce, Adam Paquette","cmm, ogw, j22, prm, pogw, m3c"
1276,enduring renewal,TSP,Harold McNeill,Set not found in dbgit ,Harold McNeill,"olep, tsb, ice"
1282,energy flux,4ED,Phil Foglio,Artist not found in db,"Qiao Dafu, Kaja Foglio","itp, 3ed, sum, 5ed, wc00, plst, rqs, 4bb, fbb, 4ed, mb2, me4, mmq, atq"
1293,enlightened tutor x4,MIR,Dan Frazier,Name not found in db,,
1295,ensaring bridge,STH,Pete Venters,Name not found in db,,
1296,ensaring bridge,MPS,Florian de Gesincourt,Name not found in db,,
1297,enslave,PLC,Z Boros and G Szikszai,Artist not found in db,"Chris Rahn, Zoltan Boros & Gabor Szikszai","plc, nph, gvl, tsr, ddd"
1299,ensnaring bridge,SHD,Pete Venters,Set not found in dbgit ,"Pete Venters, Stephen Stark, Titus Lunter, Florian de Gesincourt, Ron Spencer","mps, ltc, 2xm, 8ed, sth, a25, mb2, 7ed"
1301,ensoul artifact,M15,Jasper Sander,Artist not found in db,Jasper Sandner,"ea1, plst, m15"
1305,erase,UNH,Pete Venters,Artist and set not found in db,"Ron Spears, Richard Wright, Zack Stella","m13, ulg, ktk, wc00"
1306,erase,UNH,Pete Venters,Artist and set not found in db,"Ron Spears, Richard Wright, Zack Stella","m13, ulg, ktk, wc00"
1308,ernham djinn,CHR,Ken Meyer Jr,Name not found in db,,
1312,erratic mutation,MMA,Z Boros and G Szikszai,Artist not found in db,Zoltan Boros & Gabor Szikszai,"plc, tsr, mma"
1317,"esika, god of the tree",KHM,Collin Estrada,Name not found in db,,
1317,"esika, god of the tree",KHM,Collin Estrada,Name not found in db,,
1318,essence of the wild,ISD',Terese Nielsen,Set not found in dbgit ,Terese Nielsen,isd
